Team_Number_Id,TeamPoints,FieldGoals.,X3PointShots.,FreeThrows.,TotalRebounds,Assists,Steals,Blocks
11,105,0.494,0.333,0.696,36,15,9,3
11,105,0.464,0.378,0.714,45,21,5,5
11,109,0.488,0.295,0.783,50,24,6,4
11,101,0.389,0.293,0.826,50,20,4,9
11,107,0.419,0.366,0.778,46,19,8,7
11,129,0.551,0.457,0.75,33,28,7,8
11,115,0.481,0.528,0.69,38,18,3,4
11,100,0.354,0.235,0.643,52,19,9,3
11,114,0.484,0.383,0.75,48,22,10,8
11,118,0.489,0.385,0.909,45,28,7,4
11,118,0.441,0.316,0.857,46,28,15,6
11,104,0.432,0.368,0.69,39,22,9,7
11,83,0.338,0.226,0.828,42,12,3,3
11,120,0.512,0.348,0.667,46,26,13,3
11,96,0.466,0.351,0.625,38,16,10,5
11,102,0.474,0.378,0.696,41,23,7,5
11,105,0.42,0.34,0.938,49,19,9,5
11,83,0.378,0.283,0.667,40,11,2,6
12,101,0.488,0.2,0.842,30,24,7,2
12,125,0.558,0.484,0.778,49,24,9,4
12,109,0.557,0.318,0.7,40,30,9,5
12,106,0.494,0.056,0.655,45,13,7,3
12,97,0.459,0.476,0.75,44,16,5,4
12,120,0.545,0.478,0.929,42,20,9,1
12,109,0.532,0.538,0.867,43,26,7,2
12,86,0.396,0.269,0.538,46,17,4,4
12,86,0.381,0.08,0.769,44,15,9,4
12,94,0.44,0.211,0.941,41,14,14,1
12,116,0.563,0.375,0.68,39,32,11,3
12,108,0.473,0.419,0.818,37,27,13,1
12,114,0.54,0.278,0.789,38,25,9,1
12,105,0.542,0.286,0.818,38,28,7,3
12,105,0.529,0.385,0.677,33,20,16,4
12,126,0.506,0.414,0.929,31,21,10,6
12,100,0.443,0.333,0.84,42,25,15,8
12,102,0.463,0.414,0.64,35,19,6,2
12,97,0.446,0.25,0.818,53,18,6,5
12,121,0.5,0.429,0.682,54,27,7,5
12,108,0.433,0.4,0.857,52,20,10,7
12,116,0.475,0.321,0.846,57,30,17,3
12,103,0.471,0.25,0.696,50,22,6,4
12,102,0.422,0.344,0.75,43,21,13,5
12,103,0.446,0.375,0.767,48,19,12,4
12,98,0.442,0.32,0.917,43,11,10,0
12,92,0.429,0.588,0.762,37,18,13,5
12,84,0.386,0.13,0.765,45,12,9,3
12,112,0.495,0.5,0.8,49,21,11,3
12,99,0.481,0.545,0.9,39,26,9,7
12,101,0.4,0.208,0.8,45,20,13,2
12,99,0.43,0.292,0.706,34,17,12,1
12,102,0.453,0.5,0.8,38,24,6,4
12,110,0.494,0.286,0.947,44,24,9,8
12,92,0.366,0.318,0.944,48,15,13,5
12,109,0.462,0.355,0.857,42,25,6,2
